restaurant_name,category
오구쌀피자,피자/양식
피자 정류장,피자/양식
마운틴피자,피자/양식
까사피에스타,피자/양식
빵위에치즈,피자/양식
돼지게티,피자/양식
유로코피자,피자/양식
포안베트남쌀국수,피자/양식
아웃백,피자/양식
빕스얌딜리버리,피자/양식
라마노화덕피자 파스타,피자/양식
피자에땅,피자/양식
알렉스플레이스,피자/양식
쿠버타코,피자/양식
백종원의빽보이피자,피자/양식
청춘커리,피자/양식
피자쏭,피자/양식
파파존스피자,피자/양식
파스타입니다,피자/양식
더피자,피자/양식
큰손1치킨2피자,피자/양식
빨간모자피자,피자/양식
필라프에빠지다 파스타,피자/양식
피자먹다,피자/양식
피자헛,피자/양식
밀플랜비,피자/양식
엘노핌피자,피자/양식
피자로뎀,피자/양식
지정환임실치즈피자,피자/양식
돼지게티,피자/양식
도미노피자,피자/양식
제비파스타 리조또,피자/양식
TacoRomantico낭만타코,피자/양식
제비파스타 리조또,피자/양식
아건인도요리,피자/양식
멕시코리아타코 그릴,피자/양식
다드림피자,피자/양식
피자나라치킨공주,피자/양식
스테이킷,피자/양식
피자나라치킨공주,피자/양식
굽네치킨 피자,피자/양식
덤덤피자,피자/양식
피자마루,피자/양식
타코박스,피자/양식
꼬기랑밥이랑면이랑,피자/양식
고스트피자,피자/양식
도우라이크피자,피자/양식
파슽하예요,피자/양식
백억커피,피자/양식
찐찐파스타,피자/양식
타이반쩜,피자/양식
서오릉피자,피자/양식
고기고집,피자/양식
웰던,피자/양식
갤럭시피자,피자/양식
인도정통요리점문점옷살,피자/양식
피자플래넷,피자/양식
옐로우피자,피자/양식
소소한브런치,피자/양식
딜스테이크 파스타,피자/양식
이태리파파,피자/양식
조솊,피자/양식
포슈아쌀국수배달전문,피자/양식
배달의쌀국수,피자/양식
마라하오,피자/양식
봉수아피자,피자/양식
사생활,피자/양식
솔시카고피자,피자/양식
솔로박스,피자/양식
시드니스테이크,피자/양식
트라토리아초이파스타하우스,피자/양식
밀리언버거,피자/양식
면부심파스타,피자/양식
오빠스테이크,피자/양식
빅스타피자,피자/양식
달리181,피자/양식
굽네치킨 피자,피자/양식
도시피자,피자/양식
굽네치킨 피자,피자/양식
후안타이,피자/양식
굽네치킨 피자,피자/양식
알렉스플레이스,피자/양식
모즈,피자/양식
쉬즈베이글,피자/양식
두마리찜닭두찜,피자/양식
안다미로1514,피자/양식
사랑봄 스테이크파스타 ,피자/양식
피자파는집,피자/양식
피자마루,피자/양식
두마리찜닭두찜,피자/양식
두마리찜닭두찜,피자/양식
뜸들이다,피자/양식
마라탕입구,피자/양식
우뇽뚝배기스파게티,피자/양식
커스텀샐러드,피자/양식
버거버거BURGERBURGER,피자/양식
써브웨이,피자/양식
굽네치킨 피자,피자/양식
킹케밥,피자/양식
뚝배기파스타By뚝스토리,피자/양식
훈담,피자/양식
분짜하노이,피자/양식
스낵랩리조또,피자/양식
줄리스피자,피자/양식
네모면숏파스타 1인피자,피자/양식
핫독킹,피자/양식
7번가피자,피자/양식
킨로우라멘,피자/양식
마피아피자,피자/양식
스파게티스토리,피자/양식
스낵랩파스타,피자/양식
레그나나폴리,피자/양식
스낵랩그라탕,피자/양식
써브웨이,피자/양식
스낵랩피자,피자/양식
피노키오피자,피자/양식
도이첸치킨전문점,피자/양식
도이첸수제핫도그 버거,피자/양식
제이콜라보,피자/양식
헬로크랩,피자/양식
산촌신쭈꾸미산촌부대찌개,피자/양식
그랩유부,피자/양식
바이슨버거,피자/양식
고기고집,피자/양식
두마리찜닭두찜,피자/양식
두마리찜닭두찜,피자/양식
